name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Andre Baccellia,cardinals,WR,82.0,"5'10""",175,,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.454432
Budda Baker,cardinals,S,3.0,"5'10""",195,,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455253
Isaiah Adams,cardinals,G,74.0,"6'4""",316,,,Illinois,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.453347
Trey Benson,cardinals,RB,33.0,"6'0""",216,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455644
Joey Blount,cardinals,SAF,32.0,"6'1""",201,,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455927
Ekow Boye-Doe,cardinals,CB,35.0,"6'0""",177,,,Kansas State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.456189
Kelvin Beachum,cardinals,OT,68.0,"6'3""",308,,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455398
Jacoby Brissett,cardinals,QB,7.0,"6'4""",235,,,N.C. State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458051
Sean Murphy-Bunting,cardinals,CB,23.0,"6'0""",195,,,Central Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.459408
Baron Browning,cardinals,LB,5.0,"6'3""",240,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458975
Evan Brown,cardinals,C,62.0,"6'3""",320,,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458722
Jordan Burch,cardinals,LB,52.0,"6'4""",279,,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.459737
Calais Campbell,cardinals,DE,93.0,"6'8""",307,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.461448
Elliott Brown,cardinals,LB,41.0,"6'5""",240,,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458441
Oscar Cardenas,cardinals,TE,45.0,"6'4""",265,,,Texas-San Antonio,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.461661
Jeremiah Byers,cardinals,OT,67.0,"6'4""",320,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.460577
L.J. Collier,cardinals,DE,91.0,"6'3""",291,,,TCU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463055
Aaron Brewer,cardinals,LS,46.0,"6'5""",232,,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.456906
Denzel Burke,cardinals,CB,29.0,"5'11""",186,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.460258
KeiTrel Clark,cardinals,CB,13.0,"5'10""",181,,,Louisville,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.462784
Kitan Crawford,cardinals,SAF,36.0,"5'11""",202,,,Nevada,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463963
Jake Curhan,cardinals,OT,64.0,"6'6""",316,,,California,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.464211
James Conner,cardinals,RB,6.0,"6'1""",233,,,Pittsburgh,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463764
Michael Carter,cardinals,RB,22.0,"5'8""",201,,,North Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.462286
Hayden Conner,cardinals,G,58.0,"6'6""",314,,,Texas,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463508
McClendon Curtis,cardinals,G,66.0,"6'6""",325,,,Tennessee-Chattanooga,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.464566
Josiah Deguara,cardinals,TE,47.0,"6'2""",238,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466219
Zaven Collins,cardinals,LB,25.0,"6'4""",260,,,Tulsa,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463328
Jaden Davis,cardinals,DB,39.0,"5'10""",182,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.465215
Simi Fehoko,cardinals,WR,80.0,"6'4""",218,,,Stanford,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466909
Emari Demercado,cardinals,RB,31.0,"5'9""",215,,,TCU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466437
Akeem Davis-Gaither,cardinals,LB,27.0,"6'2""",238,,,Appalachian State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.465903
Greg Dortch,cardinals,WR,4.0,"5'7""",175,,,Wake Forest,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.466686
Josh Fryar,cardinals,OT,78.0,"6'5""",320,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.467719
Jon Gaines II,cardinals,G,59.0,"6'4""",303,,,UCLA,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.468761
Hjalte Froholdt,cardinals,G,72.0,"6'5""",310,,,Arkansas,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.467075
DeeJay Dallas,cardinals,RB,20.0,"5'10""",214,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.464811
Blake Gillikin,cardinals,P,12.0,"6'2""",196,,,Penn State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.469673
