name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at,age,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,current_salary,contract_value,contract_years,signing_bonus,guaranteed_money,cap_hit,dead_money,pro_bowls,all_pros,rookie_of_year,mvp_awards,championships,hall_of_fame,birth_date,birth_place,high_school,draft_year,draft_round,draft_pick,draft_team,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,data_quality_score,data_sources,last_updated,comprehensive_enhanced
Isaiah Adams,74.0,G,ACT,"7'6""",316,2,Illinois,cardinals,nfl.com,2025-07-18T17:22:52.745699,,@isaiahadams,isaiahadams,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Isaiah_Adams,,,,https://www.spotrac.com/nfl/cardinals/isaiah-adams/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:22:52.746362,True
Andre Baccellia,82.0,WR,ACT,"7'0""",175,2,Washington,cardinals,nfl.com,2025-07-18T17:22:52.745718,,@andrebaccellia,andrebaccellia,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Andre_Baccellia,,,,https://www.spotrac.com/nfl/cardinals/andre-baccellia/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:22:52.846648,True
Budda Baker,3.0,S,ACT,"7'0""",195,9,Washington,cardinals,nfl.com,2025-07-18T17:22:52.745726,,@buddabaker,buddabaker,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Budda_Baker,,,,https://www.spotrac.com/nfl/cardinals/budda-baker/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:22:52.946950,True
Kelvin Beachum,68.0,OT,ACT,"7'5""",308,14,SMU,cardinals,nfl.com,2025-07-18T17:22:52.745735,,@kelvinbeachum,kelvinbeachum,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Kelvin_Beachum,,,,https://www.spotrac.com/nfl/cardinals/kelvin-beachum/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:22:53.047231,True
Trey Benson,33.0,RB,ACT,"7'2""",216,2,Florida State,cardinals,nfl.com,2025-07-18T17:22:52.745743,,@treybenson,treybenson,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Trey_Benson,,,,https://www.spotrac.com/nfl/cardinals/trey-benson/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:22:53.147505,True
Jamal Agnew,14.0,WR,ACT,"7'0""",190,9,San Diego,falcons,nfl.com,2025-07-18T17:23:02.612886,,@jamalagnew,jamalagnew,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jamal_Agnew,,,,https://www.spotrac.com/nfl/falcons/jamal-agnew/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:02.613900,True
Tyler Allgeier,25.0,RB,ACT,"7'1""",225,4,BYU,falcons,nfl.com,2025-07-18T17:23:02.612909,,@tylerallgeier,tylerallgeier,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Tyler_Allgeier,,,,https://www.spotrac.com/nfl/falcons/tyler-allgeier/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:02.714244,True
Troy Andersen,44.0,LB,ACT,"7'6""",239,4,Montana State,falcons,nfl.com,2025-07-18T17:23:02.612994,,@troyandersen,troyandersen,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Troy_Andersen,,,,https://www.spotrac.com/nfl/falcons/troy-andersen/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:02.814572,True
Simeon Barrow Jr.,91.0,DL,ACT,"7'3""",283,R,Miami,falcons,nfl.com,2025-07-18T17:23:02.613004,,@simeonbarrowjr.,simeonbarrowjr.,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Simeon_Barrow_Jr.,,,,https://www.spotrac.com/nfl/falcons/simeon-barrow-jr./,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:02.914845,True
Jessie Bates,3.0,FS,ACT,"7'3""",210,8,Wake Forest,falcons,nfl.com,2025-07-18T17:23:02.613011,,@jessiebates,jessiebates,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jessie_Bates,,,,https://www.spotrac.com/nfl/falcons/jessie-bates/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:03.015105,True
Jaire Alexander,,CB,ACT,"7'0""",196,8,Louisville,ravens,nfl.com,2025-07-18T17:23:10.909967,,@jairealexander,jairealexander,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jaire_Alexander,,,,https://www.spotrac.com/nfl/ravens/jaire-alexander/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:10.910597,True
Rasheen Ali,26.0,RB,ACT,"7'1""",212,2,Marshall,ravens,nfl.com,2025-07-18T17:23:10.909988,,@rasheenali,rasheenali,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Rasheen_Ali,,,,https://www.spotrac.com/nfl/ravens/rasheen-ali/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:11.010886,True
Mark Andrews,89.0,TE,ACT,"7'7""",250,8,Oklahoma,ravens,nfl.com,2025-07-18T17:23:10.909996,,@markandrews,markandrews,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Mark_Andrews,,,,https://www.spotrac.com/nfl/ravens/mark-andrews/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:11.111167,True
Jalyn Armour-Davis,5.0,CB,ACT,"7'3""",197,4,Alabama,ravens,nfl.com,2025-07-18T17:23:10.910003,,@jalynarmour-davis,jalynarmour-davis,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jalyn_Armour-Davis,,,,https://www.spotrac.com/nfl/ravens/jalyn-armour-davis/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:11.211472,True
Chidobe Awuzie,25.0,CB,ACT,"7'2""",202,9,Colorado,ravens,nfl.com,2025-07-18T17:23:10.910010,,@chidobeawuzie,chidobeawuzie,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Chidobe_Awuzie,,,,https://www.spotrac.com/nfl/ravens/chidobe-awuzie/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:11.311864,True
Kelly Akharaiyi,87.0,WR,ACT,"7'3""",200,R,Mississippi State,bills,nfl.com,2025-07-18T17:23:19.129953,,@kellyakharaiyi,kellyakharaiyi,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Kelly_Akharaiyi,,,,https://www.spotrac.com/nfl/bills/kelly-akharaiyi/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:19.130736,True
Josh Allen,17.0,QB,ACT,"7'7""",237,8,Wyoming,bills,nfl.com,2025-07-18T17:23:19.129970,,@joshallen,joshallen,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Josh_Allen,,,,https://www.spotrac.com/nfl/bills/josh-allen/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:19.231078,True
Alec Anderson,70.0,OT,ACT,"7'7""",305,3,UCLA,bills,nfl.com,2025-07-18T17:23:19.129976,,@alecanderson,alecanderson,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Alec_Anderson,,,,https://www.spotrac.com/nfl/bills/alec-anderson/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:23:19.331303,True
