name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at,age,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,draft_pick,draft_round,draft_team,draft_year,contract_value,contract_years,current_salary,cap_hit,guaranteed_money,championships,all_pros,pro_bowls,awards,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,career_games,career_starts,career_pass_attempts,career_pass_completions,passing_yards_2023,passing_tds_2023,rushing_yards_2023,rushing_tds_2023,receiving_yards_2023,receiving_tds_2023,tackles_2023,sacks_2023,interceptions_2023,birth_date,birth_place,high_school,rookie_of_year,mvp_awards,hall_of_fame,signing_bonus,dead_money,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,data_sources,last_updated,data_quality_score,comprehensive_enhanced
Felix Anudike-Uzomah,97,DE,ACT,"7'6""",255,3,Kansas State,chiefs,real_data_only,2025-07-20T02:22:51.585234,25.0,,,,,,,,,,,,,,,,,,31.0,1.0,Kansas City Chiefs,2023.0,11364708.0,4.0,2566477.0,,9835477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-20T02:22:51.585230,1.3,True
Matt Araiza,14,P,ACT,"7'4""",200,2,San Diego State,chiefs,real_data_only,2025-07-20T02:23:07.146961,24.0,,,,,,,,,,,,,,,,,,180.0,6.0,Buffalo Bills,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Draft Analysis']",2025-07-20T02:23:07.146950,1.0,True
Elijhah Badger,80,WR,ACT,"7'3""",192,R,Florida,chiefs,real_data_only,2025-07-20T02:23:22.630958,,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Draft Analysis']",2025-07-20T02:23:22.630943,0.8,True
Jeffrey Bassa,31,LB,ACT,"7'4""",235,R,Oregon,chiefs,real_data_only,2025-07-20T02:23:38.489725,,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Draft Analysis']",2025-07-20T02:23:38.489713,0.8,True
Nick Bolton,32,LB,ACT,"7'1""",237,5,Missouri,chiefs,real_data_only,2025-07-20T02:23:55.739349,27.0,,,,,,,,,,,,,,,,,,58.0,2.0,Kansas City Chiefs,2021.0,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Achievement Analysis', 'AI Draft Analysis']",2025-07-20T02:23:55.739335,1.1,True
Jake Briningstool,88,TE,ACT,"7'8""",240,R,Clemson,chiefs,real_data_only,2025-07-20T02:24:14.992256,,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Draft Analysis']",2025-07-20T02:24:14.992242,0.8,True
Marquise Brown,5,WR,ACT,"6'9""",180,7,Oklahoma,chiefs,real_data_only,2025-07-20T02:24:30.935427,29.0,,,,,,,,,,,,,,,,,,25.0,1.0,Baltimore Ravens,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Draft Analysis']",2025-07-20T02:24:30.935414,1.0,True
Jason Brownlee,89,WR,ACT,"7'5""",202,2,Southern Mississippi,chiefs,real_data_only,2025-07-20T02:24:48.382282,24.0,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Draft Analysis']",2025-07-20T02:24:48.382271,0.8,True
Deon Bush,26,SAF,ACT,"7'2""",200,9,Miami,chiefs,real_data_only,2025-07-20T02:25:05.878656,31.0,,,,,,,,,,,,,,,,,,124.0,4.0,Chicago Bears,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['Vision-Enhanced Social Media', 'NFL.com', 'AI Draft Analysis']",2025-07-20T02:25:05.878645,1.0,True
Harrison Butker,7,K,ACT,"7'6""",205,9,Georgia Tech,chiefs,real_data_only,2025-07-20T02:25:22.313677,31.0,,,,,,,,,,,,,,,,,,233.0,7.0,Carolina Panthers,2017.0,20000000.0,5.0,5000000.0,,9000000.0,"2019, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/chiefs/roster/,,,,"['AI Achievement Analysis', 'AI Draft Analysis', 'NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis']",2025-07-20T02:25:22.313663,1.3,True
