name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at,age,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,current_salary,contract_value,contract_years,signing_bonus,guaranteed_money,cap_hit,dead_money,pro_bowls,all_pros,rookie_of_year,mvp_awards,championships,hall_of_fame,birth_date,birth_place,high_school,draft_year,draft_round,draft_pick,draft_team,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,data_quality_score,data_sources,last_updated,comprehensive_enhanced
Chigozie Anusiem,35.0,CB,ACT,"7'3""",200,2,Colorado State,browns,nfl.com,2025-07-18T19:04:28.689423,,@chigozieanusiem,chigozieanusiem,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Chigozie_Anusiem,,,,https://www.spotrac.com/nfl/browns/chigozie-anusiem/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:28.690348,True
Jerome Baker,17.0,OLB,ACT,"7'4""",232,8,Ohio State,browns,nfl.com,2025-07-18T19:04:28.689442,,@jeromebaker,jeromebaker,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jerome_Baker,,,,https://www.spotrac.com/nfl/browns/jerome-baker/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:28.790637,True
Jackson Barton,,OT,ACT,"7'9""",302,6,Utah,browns,nfl.com,2025-07-18T19:04:28.689450,,@jacksonbarton,jacksonbarton,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jackson_Barton,,,,https://www.spotrac.com/nfl/browns/jackson-barton/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:28.890977,True
Brenden Bates,82.0,TE,ACT,"7'7""",255,2,Kentucky,browns,nfl.com,2025-07-18T19:04:28.689457,,@brendenbates,brendenbates,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Brenden_Bates,,,,https://www.spotrac.com/nfl/browns/brenden-bates/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:28.991261,True
David Bell,18.0,WR,ACT,"7'3""",212,4,Purdue,browns,nfl.com,2025-07-18T19:04:28.689497,,@davidbell,davidbell,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/David_Bell,,,,https://www.spotrac.com/nfl/browns/david-bell/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.091531,True
Joel Bitonio,75.0,G,ACT,"7'6""",320,12,Nevada,browns,nfl.com,2025-07-18T19:04:28.689505,,@joelbitonio,joelbitonio,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Joel_Bitonio,,,,https://www.spotrac.com/nfl/browns/joel-bitonio/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.191856,True
Corey Bojorquez,13.0,P,ACT,"7'2""",217,8,New Mexico,browns,nfl.com,2025-07-18T19:04:28.689512,,@coreybojorquez,coreybojorquez,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Corey_Bojorquez,,,,https://www.spotrac.com/nfl/browns/corey-bojorquez/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.292275,True
Jowon Briggs,97.0,DT,ACT,"7'3""",313,2,Cincinnati,browns,nfl.com,2025-07-18T19:04:28.689528,,@jowonbriggs,jowonbriggs,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jowon_Briggs,,,,https://www.spotrac.com/nfl/browns/jowon-briggs/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.394081,True
Tony Brown,11.0,CB,ACT,"7'2""",200,7,Alabama,browns,nfl.com,2025-07-18T19:04:28.689535,,@tonybrown,tonybrown,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Tony_Brown,,,,https://www.spotrac.com/nfl/browns/tony-brown/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.494457,True
Devin Bush,30.0,LB,ACT,"7'1""",234,7,Michigan,browns,nfl.com,2025-07-18T19:04:28.689542,,@devinbush,devinbush,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Devin_Bush,,,,https://www.spotrac.com/nfl/browns/devin-bush/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.594766,True
Sal Cannella,,TE,ACT,"7'7""",228,1,Auburn,browns,nfl.com,2025-07-18T19:04:28.689549,,@salcannella,salcannella,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Sal_Cannella,,,,https://www.spotrac.com/nfl/browns/sal-cannella/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.695078,True
DeAndre Carter,2.0,WR,ACT,"6'8""",188,8,Sacramento State,browns,nfl.com,2025-07-18T19:04:28.689555,,@deandrecarter,deandrecarter,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/DeAndre_Carter,,,,https://www.spotrac.com/nfl/browns/deandre-carter/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.795416,True
Javion Cohen,67.0,G,ACT,"7'6""",322,1,Miami,browns,nfl.com,2025-07-18T19:04:28.689562,,@javioncohen,javioncohen,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Javion_Cohen,,,,https://www.spotrac.com/nfl/browns/javion-cohen/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.895733,True
Maliek Collins,96.0,DT,ACT,"7'4""",310,10,Nebraska,browns,nfl.com,2025-07-18T19:04:28.689577,,@maliekcollins,maliekcollins,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Maliek_Collins,,,,https://www.spotrac.com/nfl/browns/maliek-collins/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:29.996031,True
Jack Conklin,78.0,OT,ACT,"7'8""",308,10,Michigan State,browns,nfl.com,2025-07-18T19:04:28.689584,,@jackconklin,jackconklin,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jack_Conklin,,,,https://www.spotrac.com/nfl/browns/jack-conklin/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.096355,True
Kaden Davis,89.0,WR,ACT,"7'3""",193,1,NW Missouri State University,browns,nfl.com,2025-07-18T19:04:28.689591,,@kadendavis,kadendavis,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Kaden_Davis,,,,https://www.spotrac.com/nfl/browns/kaden-davis/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.196687,True
Grant Delpit,9.0,SAF,ACT,"7'5""",208,6,LSU,browns,nfl.com,2025-07-18T19:04:28.689598,,@grantdelpit,grantdelpit,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Grant_Delpit,,,,https://www.spotrac.com/nfl/browns/grant-delpit/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.296975,True
Mohamoud Diabate,43.0,LB,ACT,"7'6""",225,3,Utah,browns,nfl.com,2025-07-18T19:04:28.689605,,@mohamouddiabate,mohamouddiabate,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Mohamoud_Diabate,,,,https://www.spotrac.com/nfl/browns/mohamoud-diabate/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.397288,True
Chris Edmonds,41.0,SAF,ACT,"7'4""",210,1,Arizona State,browns,nfl.com,2025-07-18T19:04:28.689612,,@chrisedmonds,chrisedmonds,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Chris_Edmonds,,,,https://www.spotrac.com/nfl/browns/chris-edmonds/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.497593,True
Martin Emerson,1.0,CB,ACT,"7'4""",200,4,Mississippi State,browns,nfl.com,2025-07-18T19:04:28.689619,,@martinemerson,martinemerson,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Martin_Emerson,,,,https://www.spotrac.com/nfl/browns/martin-emerson/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.597869,True
Harold Fannin Jr.,88.0,TE,ACT,"7'5""",241,R,Bowling Green,browns,nfl.com,2025-07-18T19:04:28.689625,,@haroldfanninjr.,haroldfanninjr.,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Harold_Fannin_Jr.,,,,https://www.spotrac.com/nfl/browns/harold-fannin-jr./,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.698279,True
Joe Flacco,15.0,QB,ACT,"7'8""",230,19,Delaware,browns,nfl.com,2025-07-18T19:04:28.689632,,@joeflacco,joeflacco,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Joe_Flacco,,,,https://www.spotrac.com/nfl/browns/joe-flacco/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.798558,True
Luke Floriea,37.0,WR,ACT,"6'8""",179,R,Kent State,browns,nfl.com,2025-07-18T19:04:28.689638,,@lukefloriea,lukefloriea,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Luke_Floriea,,,,https://www.spotrac.com/nfl/browns/luke-floriea/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.898811,True
Jerome Ford,34.0,RB,ACT,"7'0""",210,4,Cincinnati,browns,nfl.com,2025-07-18T19:04:28.689645,,@jeromeford,jeromeford,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jerome_Ford,,,,https://www.spotrac.com/nfl/browns/jerome-ford/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:30.999134,True
Dillon Gabriel,,QB,ACT,"7'1""",202,R,Oregon,browns,nfl.com,2025-07-18T19:04:28.689651,,@dillongabriel,dillongabriel,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Dillon_Gabriel,,,,https://www.spotrac.com/nfl/browns/dillon-gabriel/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:31.099693,True
Myles Garrett,95.0,DE,ACT,"7'6""",272,9,Texas A&M,browns,nfl.com,2025-07-18T19:04:28.689666,,@mylesgarrett,mylesgarrett,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Myles_Garrett,,,,https://www.spotrac.com/nfl/browns/myles-garrett/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:31.200831,True
Jaelen Gill,,WR,ACT,"7'2""",185,1,Fresno State,browns,nfl.com,2025-07-18T19:04:28.689674,,@jaelengill,jaelengill,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jaelen_Gill,,,,https://www.spotrac.com/nfl/browns/jaelen-gill/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:31.301171,True
Mason Graham,94.0,DT,ACT,"7'5""",320,R,Michigan,browns,nfl.com,2025-07-18T19:04:28.689681,,@masongraham,masongraham,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Mason_Graham,,,,https://www.spotrac.com/nfl/browns/mason-graham/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:31.401466,True
Troy Hairston,36.0,RB,ACT,"7'1""",245,3,Central Michigan,browns,nfl.com,2025-07-18T19:04:28.689688,,@troyhairston,troyhairston,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Troy_Hairston,,,,https://www.spotrac.com/nfl/browns/troy-hairston/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:31.501756,True
Mike Hall Jr.,51.0,DT,ACT,"7'5""",300,2,Ohio State,browns,nfl.com,2025-07-18T19:04:28.689694,,@mikehalljr.,mikehalljr.,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Mike_Hall_Jr.,,,,https://www.spotrac.com/nfl/browns/mike-hall-jr./,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T19:04:31.602148,True
